code,term
34677011000001107,Aloflute 25micrograms/dose / 125micrograms/dose inhaler (Viatris UK Healthcare Ltd) (AMP)
34681611000001100,Trimbow 87micrograms/dose / 5micrograms/dose / 9micrograms/dose inhaler (Chiesi Ltd) (AMP)
34683311000001106,Generic Trimbow 87micrograms/dose / 5micrograms/dose / 9micrograms/dose inhaler CFC free (VMP)
34812111000001106,Fobumix Easyhaler 320micrograms/dose / 9micrograms/dose dry powder inhaler (Orion Pharma (UK) Ltd) (AMP)
34950311000001108,Fobumix Easyhaler 160micrograms/dose / 4.5micrograms/dose dry powder inhaler (Orion Pharma (UK) Ltd) (AMP)
34950611000001103,Fobumix Easyhaler 80micrograms/dose / 4.5micrograms/dose dry powder inhaler (Orion Pharma (UK) Ltd) (AMP)
34957311000001109,Montelukast 10mg tablets (Almus Pharmaceuticals Ltd) (AMP)
34957511000001103,Montelukast 4mg granules sachets sugar free (Almus Pharmaceuticals Ltd) (AMP)
35515311000001106,Fusacomb Easyhaler 50micrograms/dose / 500micrograms/dose dry powder inhaler (Orion Pharma (UK) Ltd) (AMP)
35515511000001100,Fusacomb Easyhaler 50micrograms/dose / 250micrograms/dose dry powder inhaler (Orion Pharma (UK) Ltd) (AMP)
35594011000001105,Combisal 25micrograms/dose / 50micrograms/dose inhaler (Aspire Pharma Ltd) (AMP)
35594211000001100,Combisal 25micrograms/dose / 125micrograms/dose inhaler (Aspire Pharma Ltd) (AMP)
35594411000001101,Combisal 25micrograms/dose / 250micrograms/dose inhaler (Aspire Pharma Ltd) (AMP)
35647311000001101,Flutiform K-haler 125micrograms/dose / 5micrograms/dose breath actuated inhaler (Napp Pharmaceuticals Ltd) (AMP)
35647511000001107,Fluticasone 125micrograms/dose / Formoterol 5micrograms/dose breath actuated inhaler CFC free (VMP)
35647611000001106,Fluticasone 50micrograms/dose / Formoterol 5micrograms/dose breath actuated inhaler CFC free (VMP)
35650811000001109,Flutiform K-haler 50micrograms/dose / 5micrograms/dose breath actuated inhaler (Napp Pharmaceuticals Ltd) (AMP)
35912011000001109,Budesonide 100micrograms/dose / Formoterol 6micrograms/dose dry powder inhaler (VMP)
35937811000001108,Salmeterol 50microgram inhalation powder blisters with device (VMP)
35938011000001101,Salmeterol 50microgram inhalation powder blisters (VMP)
36604711000001102,Stalpex 50micrograms/dose / 500micrograms/dose dry powder inhaler (Glenmark Pharmaceuticals Europe Ltd) (AMP)
36605511000001108,Montelukast 10mg tablets (Bristol Laboratories Ltd) (AMP)
36605711000001103,Montelukast 4mg chewable tablets sugar free (Bristol Laboratories Ltd) (AMP)
36605911000001101,Montelukast 5mg chewable tablets sugar free (Bristol Laboratories Ltd) (AMP)
36822311000001105,Montelukast 4mg chewable tablets sugar free (Torrent Pharma (UK) Ltd) (AMP)
36822511000001104,Montelukast 5mg chewable tablets sugar free (Torrent Pharma (UK) Ltd) (AMP)
36832211000001100,Montelukast 10mg tablets (Torrent Pharma (UK) Ltd) (AMP)
36889311000001107,DuoResp Spiromax 160micrograms/dose / 4.5micrograms/dose dry powder inhaler (Pharmaram Ltd) (AMP)
36889511000001101,DuoResp Spiromax 320micrograms/dose / 9micrograms/dose dry powder inhaler (Pharmaram Ltd) (AMP)
36895211000001101,Serevent 50micrograms/dose Accuhaler (Abacus Medicine Ltd) (AMP)
37347911000001109,Singulair Paediatric 4mg chewable tablets (CST Pharma Ltd) (AMP)
37353411000001105,Singulair Paediatric 5mg chewable tablets (CST Pharma Ltd) (AMP)
37356211000001104,Singulair 10mg tablets (CST Pharma Ltd) (AMP)
37391711000001105,Flutiform 125micrograms/dose / 5micrograms/dose inhaler (CST Pharma Ltd) (AMP)
37397211000001108,DuoResp Spiromax 320micrograms/dose / 9micrograms/dose dry powder inhaler (Mawdsley-Brooks & Company Ltd) (AMP)
37397411000001107,DuoResp Spiromax 160micrograms/dose / 4.5micrograms/dose dry powder inhaler (Mawdsley-Brooks & Company Ltd) (AMP)
37415511000001109,Serevent 50micrograms/dose Accuhaler (CST Pharma Ltd) (AMP)
37434411000001103,DuoResp Spiromax 160micrograms/dose / 4.5micrograms/dose dry powder inhaler (CST Pharma Ltd) (AMP)
37434611000001100,DuoResp Spiromax 320micrograms/dose / 9micrograms/dose dry powder inhaler (CST Pharma Ltd) (AMP)
37443211000001101,Seretide 250 Accuhaler (CST Pharma Ltd) (AMP)
37443411000001102,Seretide 500 Accuhaler (CST Pharma Ltd) (AMP)
37443611000001104,Seretide 250 Evohaler (CST Pharma Ltd) (AMP)
37443811000001100,Oxis 6 Turbohaler (CST Pharma Ltd) (AMP)
37444011000001108,Seretide 125 Evohaler (CST Pharma Ltd) (AMP)
37444211000001103,Symbicort 400/12 Turbohaler (CST Pharma Ltd) (AMP)
37448711000001102,Flutiform 250micrograms/dose / 10micrograms/dose inhaler (CST Pharma Ltd) (AMP)
37453011000001109,Montelukast 4mg granules sachets sugar free (DE Pharmaceuticals) (AMP)
37484711000001101,Flutiform 250micrograms/dose / 10micrograms/dose inhaler (Mawdsley-Brooks & Company Ltd) (AMP)
37484911000001104,Flutiform 125micrograms/dose / 5micrograms/dose inhaler (Mawdsley-Brooks & Company Ltd) (AMP)
37532911000001106,Relvar Ellipta 184micrograms/dose / 22micrograms/dose dry powder inhaler (CST Pharma Ltd) (AMP)
37533111000001102,Relvar Ellipta 92micrograms/dose / 22micrograms/dose dry powder inhaler (CST Pharma Ltd) (AMP)
37534411000001105,Zafirlukast 20mg tablets (Special Order) (AMP)
375711000001100,Bambec 10mg tablets (AstraZeneca UK Ltd) (AMP)
37574711000001102,Foradil 12microgram inhalation powder capsules with device (CST Pharma Ltd) (AMP)
37575111000001104,Oxis 12 Turbohaler (CST Pharma Ltd) (AMP)
37631511000001104,DuoResp Spiromax 160micrograms/dose / 4.5micrograms/dose dry powder inhaler (Ethigen Ltd) (AMP)
37631711000001109,DuoResp Spiromax 320micrograms/dose / 9micrograms/dose dry powder inhaler (Ethigen Ltd) (AMP)
37665111000001104,Flutiform 125micrograms/dose / 5micrograms/dose inhaler (Pilsco Ltd) (AMP)
37665311000001102,Flutiform 250micrograms/dose / 10micrograms/dose inhaler (Pilsco Ltd) (AMP)
37700511000001108,Relvar Ellipta 184micrograms/dose / 22micrograms/dose dry powder inhaler (Pilsco Ltd) (AMP)
37700711000001103,Relvar Ellipta 92micrograms/dose / 22micrograms/dose dry powder inhaler (Pilsco Ltd) (AMP)
37702211000001106,Seretide 250 Accuhaler (Pilsco Ltd) (AMP)
37702411000001105,Seretide 250 Evohaler (Pilsco Ltd) (AMP)
37702611000001108,Seretide 500 Accuhaler (Pilsco Ltd) (AMP)
37702811000001107,Serevent 50micrograms/dose Accuhaler (Pilsco Ltd) (AMP)
37714411000001100,AirFluSal Forspiro 50micrograms/dose / 500micrograms/dose dry powder inhaler (Pilsco Ltd) (AMP)
37714611000001102,AirFluSal 25micrograms/dose / 125micrograms/dose inhaler (Pilsco Ltd) (AMP)
37714811000001103,AirFluSal 25micrograms/dose / 250micrograms/dose inhaler (Pilsco Ltd) (AMP)
37715611000001101,Atimos Modulite 12micrograms/dose inhaler (Pilsco Ltd) (AMP)
37729411000001107,Sereflo 25micrograms/dose / 250micrograms/dose inhaler (Pilsco Ltd) (AMP)
37739011000001101,Symbicort 200/6 Turbohaler (CST Pharma Ltd) (AMP)
37764711000001105,Singulair Paediatric 4mg granules sachets (CST Pharma Ltd) (AMP)
37994011000001101,Relvar Ellipta 184micrograms/dose / 22micrograms/dose dry powder inhaler (Pharmaram Ltd) (AMP)
37994211000001106,Relvar Ellipta 92micrograms/dose / 22micrograms/dose dry powder inhaler (Pharmaram Ltd) (AMP)
37996511000001103,Seretide 125 Evohaler (Pharmaram Ltd) (AMP)
37996711000001108,Seretide 250 Evohaler (Pharmaram Ltd) (AMP)
37997311000001107,Symbicort 100/6 Turbohaler (Pharmaram Ltd) (AMP)
